date,lift,training_max_kg,weight_kg,percent,sets,reps,success_reps,fail_reps,result,memo,condition
2026-07-01,snatch,100,70,70,1,3,3,0,O,워밍업 — 텐션 좋음,수면 7h 어깨 약간 뻐근
2026-07-01,snatch,100,80,80,1,2,2,0,O,,
2026-07-01,snatch,100,85,85,3,2,6,0,O,2rep째 무릎이 일찍 펴짐,
2026-07-01,cj,120,90,75,5,1,4,1,X,저크 캐치에서 발 좁음,
2026-07-01,accessory,0,100,0,3,5,15,0,O,백스쿼트,
2026-07-01,accessory,0,80,0,3,8,24,0,O,RDL,
2026-07-03,snatch,100,75,75,1,2,2,0,O,,
2026-07-03,snatch,100,82.5,82.5,4,1,4,0,O,,
2026-07-03,cj,120,96,80,3,2,6,0,O,,
2026-07-03,accessory,0,105,0,3,5,15,0,O,프론트스쿼트,
2026-07-05,snatch,100,70,70,1,3,3,0,O,,
2026-07-05,snatch,100,77.5,77.5,3,3,9,0,O,,
2026-07-05,cj,120,84,70,4,2,8,0,O,,
2026-07-07,snatch,100,80,80,5,2,10,0,O,,
2026-07-07,snatch,100,87.5,87.5,2,1,2,0,O,PR 테스트 — 성공,
2026-07-07,cj,120,102,85,3,1,3,0,O,,
2026-07-09,snatch,100,75,75,1,2,2,0,O,,
2026-07-09,snatch,100,85,85,4,2,7,1,X,3세트째 2rep 실패,
2026-07-09,cj,120,96,80,4,1,4,0,O,,
2026-07-11,snatch,100,70,70,1,3,3,0,O,deload,
2026-07-11,cj,120,84,70,3,2,6,0,O,deload,
2026-07-13,snatch,100,72.5,72.5,1,3,3,0,O,,
2026-07-13,snatch,100,80,80,3,2,6,0,O,,
2026-07-13,snatch,100,87.5,87.5,2,1,2,0,O,,
2026-07-13,cj,120,96,80,4,2,8,0,O,,
2026-07-13,accessory,0,100,0,3,5,15,0,O,백스쿼트,
